Company,Sector,Industry,CompanyType,HeadquartersState,2023_Rank,2023_Profitable,2023_Founder_is_CEO,2023_FemaleCEO,2023_Growth_in_Jobs,2023_Change_in_Rank,2023_Gained_in_Rank,2023_Dropped_in_Rank,2023_Newcomer_to_the_Fortune500,2023_Global500,2023_Best_Companies,2023_Number_of_employees,2023_MarketCap_March31_M,2023_Revenues_M,2023_RevenuePercentChange,2023_Profits_M,2023_ProfitsPercentChange,2023_Assets_M,2023_CEO,2023_MarketCap_Updated_M,2023_Year,2024_Rank,2024_Profitable,2024_Founder_is_CEO,2024_FemaleCEO,2024_Growth_in_Jobs,2024_Change_in_Rank,2024_Gained_in_Rank,2024_Dropped_in_Rank,2024_Newcomer_to_the_Fortune500,2024_Global500,2024_Worlds_Most_Admired_Companies,2024_Best_Companies_to_Work_For,2024_Number_of_employees,2024_MarketCap_March28_M,2024_Revenues_M,2024_RevenuePercentChange,2024_Profits_M,2024_ProfitsPercentChange,2024_Assets_M,2024_CEO,2024_MarketCap_Updated_M,2024_Year
M&T Bank,Financials,Commercial Banks,Public,New York,439,yes,no,no,yes,80,yes,no,yes,no,no,22509,20093,8604,41,1992,7,200730,René F. Jones,20093,2023,317,yes,no,no,no,122,yes,no,no,no,no,no,21980,24233,12752,48,2741,38,208264,Ren? F. Jones,24233,2024
Macy's,Retailing,General Merchandisers,Public,New York,158,yes,no,no,yes,-14,no,yes,no,no,no,94570,4747,25305,0,1177,-18,16866,Jeffrey Gennette,4747,2023,172,yes,no,no,no,-14,no,yes,no,no,no,no,85581,5483,23866,-6,105,-91,16246,Tony Spring,5483,2024
Magellan Midstream Partners,Energy,Pipelines,Public,Oklahoma,861,yes,no,no,no,-2,no,yes,,no,no,1655,11031,3252,13,1036,6,7708,Aaron L. Milford,11031,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
ManpowerGroup,Business Services,Temporary Help,Public,Wisconsin,202,yes,no,no,yes,-35,no,yes,no,no,no,30900,4191,19828,-4,374,-2,9130,Jonas Prising,4191,2023,219,yes,no,no,no,-17,no,yes,no,no,no,no,27900,3756,18914,-5,89,-76,8830,Jonas Prising,3756,2024
Marathon Oil,Energy,"Mining, Crude-Oil Production",Public,Texas,464,yes,no,no,yes,105,yes,no,yes,no,no,1570,15087,8036,47,3612,282,19940,Lee M. Tillman,15087,2023,527,yes,no,no,yes,-63,no,yes,,no,no,no,1681,16196,6697,-17,1554,-57,19575,Lee M. Tillman,16196,2024
Marathon Petroleum,Energy,Petroleum Refining,Public,Ohio,16,yes,no,no,yes,3,yes,no,no,yes,no,17800,59544,180012,28,14516,49,89904,Michael J. Hennigan,50121,2023,24,yes,no,no,yes,-8,no,yes,no,yes,no,no,18200,72608,150307,-16,9681,-33,85987,Maryann T. Mannen,58737,2024
Markel,Financials,Insurance: Property and Casualty (Stock),Public,Virginia,352,no,no,no,yes,-63,no,yes,no,no,no,20900,17094,11675,-9,-214,-109,49791,Thomas S. Gayner,17094,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Marriott International,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Public,Maryland,192,yes,no,no,yes,78,yes,no,no,no,yes,140000,51287,20773,50,2358,115,24815,Anthony G. Capuano,51287,2023,173,yes,no,no,yes,19,yes,no,no,no,yes,yes,148000,72731,23713,14,3083,31,25674,Anthony G. Capuano,72731,2024
Marriott Vacations Worldwide,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Public,Florida,675,yes,no,no,yes,30,yes,no,,no,no,21400,4999,4656,20,391,698,9639,John E. Geller Jr.,4999,2023,664,yes,no,no,yes,11,yes,no,,no,yes,no,22000,3790,4727,2,254,-35,9680,John E. Geller Jr.,3790,2024
Marsh & McLennan,Financials,Diversified Financials,Public,New York,193,yes,no,no,yes,-16,no,yes,no,no,no,85000,82371,20720,4,3050,-3,33454,John Q. Doyle,82371,2023,180,yes,no,no,no,13,yes,no,no,no,yes,no,85000,101658,22736,10,3756,23,48030,John Q. Doyle,101658,2024
Martin Marietta Materials,Materials,"Building Materials, Glass",Public,North Carolina,539,yes,no,no,no,29,yes,no,,no,no,9400,22051,6469,18,867,23,14994,C. Howard Nye,22051,2023,516,yes,no,no,no,23,yes,no,,no,no,no,9400,37955,6871,6,1169,35,15125,C. Howard Nye,37955,2024
Marvell Technology,Technology,Semiconductors and Other Electronic Components,Public,Delaware,580,no,no,no,yes,74,yes,no,,no,no,7433,37104,5920,33,-164,0,22522,Matthew J. Murphy,37104,2023,598,no,no,no,no,-18,no,yes,,no,no,no,6544,61382,5508,-7,-933,0,21228,Matthew J. Murphy,61382,2024
Masco,Household Products,"Home Equipment, Furnishings",Public,Michigan,436,yes,no,no,no,-23,no,yes,no,no,no,19000,11207,8680,4,844,106,5187,Keith J. Allman,11207,2023,466,yes,no,no,no,-30,no,yes,no,no,no,no,18000,17335,7967,-8,908,8,5363,Keith J. Allman,17335,2024
Massachusetts Mutual Life Insurance,Financials,"Insurance: Life, Health (Mutual)",Private,Massachusetts,104,yes,no,no,yes,-4,no,yes,no,yes,no,10662,0,40281,12,1485,365,381336,Roger W. Crandall,0,2023,102,no,no,no,yes,2,yes,no,no,yes,yes,no,11323,0,42641,6,-772,-152,397895,Roger W. Crandall,0,2024
MasTec,Engineering & Construction,Engineering & Construction,Public,Florida,394,yes,no,no,yes,35,yes,no,no,no,no,32000,7441,9778,23,33,-90,9293,José R. Mas,7441,2023,347,no,no,no,yes,47,yes,no,no,no,yes,no,34000,7393,11996,23,-50,-250,9374,Jos? R. Mas,7393,2024
Mastercard,Business Services,Financial Data Services,Public,New York,177,yes,no,no,yes,13,yes,no,no,no,yes,29900,346418,22237,18,9930,14,38724,Michael Miebach,346418,2023,164,yes,no,no,yes,13,yes,no,no,no,yes,yes,33400,449253,25098,13,11195,13,42448,Michael Miebach,449253,2024
Matador Resources,Energy,"Mining, Crude-Oil Production",Public,Texas,882,yes,yes,no,yes,0,,,,no,no,360,5674,3058,84,1214,108,5555,Joseph Wm. Foran,5674,2023,930,yes,yes,no,yes,-48,no,yes,,no,no,no,395,8332,2807,-8,846,-30,7727,Joseph Wm. Foran,8332,2024
Match Group,Technology,Internet Services and Retailing,Public,Texas,869,yes,no,no,yes,-33,no,yes,,no,no,2710,10723,3189,7,362,30,4183,Bernard Kim,10723,2023,839,yes,no,no,no,30,yes,no,,no,no,no,2610,9724,3364,6,652,80,4508,Bernard Kim,9724,2024
Matson,Transportation,Shipping,Public,Hawaii,712,yes,no,no,yes,-9,no,yes,,no,no,4288,2152,4343,11,1064,15,4330,Matthew J. Cox,2152,2023,875,yes,no,no,yes,-163,no,yes,,no,no,no,4315,3876,3095,-29,297,-72,4295,Matthew J. Cox,3876,2024
Mattel,Household Products,"Toys, Sporting Goods",Public,California,612,yes,no,no,no,-42,no,yes,,no,no,33900,6516,5435,0,394,-56,6178,Ynon Kreiz,6516,2023,609,yes,no,no,no,3,yes,no,,no,no,no,33000,6815,5441,0,214,-46,6436,Ynon Kreiz,6815,2024
Maximus,Technology,Information Technology Services,Public,Virginia,679,yes,no,no,yes,-12,no,yes,,no,no,39500,4783,4631,9,204,-30,3993,Bruce L. Caswell,4783,2023,653,yes,no,no,yes,26,yes,no,,no,no,no,39600,5120,4905,6,162,-21,3986,Bruce L. Caswell,5121,2024
McCormick,"Food, Beverages & Tobacco",Food Consumer Products,Public,Maryland,548,yes,no,no,yes,-43,no,yes,,no,no,14200,22320,6351,0,682,-10,13125,Brendan M. Foley,22320,2023,530,yes,no,no,no,18,yes,no,,no,no,no,13800,20617,6662,5,681,0,12862,Brendan M. Foley,20617,2024
McDonald's,"Hotels, Restaurants & Leisure",Food Services,Public,Illinois,169,yes,no,no,no,-17,no,yes,no,no,no,150000,204534,23183,0,6177,-18,50436,Christopher J. Kempczinski,204534,2023,162,yes,no,no,no,7,yes,no,no,no,yes,no,150000,203582,25494,10,8469,37,56147,Christopher J. Kempczinski,203582,2024
McKesson,Health Care,Wholesalers: Health Care,Public,Texas,9,yes,no,no,no,0,no,no,no,yes,no,66500,48757,263966,11,1114,0,63298,Brian S. Tyler,55787,2023,9,yes,no,no,no,0,no,no,no,yes,no,no,48000,70546,276711,5,3560,220,62320,Brian S. Tyler,75007,2024
MDC Holdings,Engineering & Construction,Homebuilders,Private,Colorado,595,yes,no,no,no,-15,no,yes,,no,no,1643,2841,5718,9,562,-2,5363,David D. Mandarich,2841,2023,673,yes,no,no,yes,-78,no,yes,,no,no,no,1760,4721,4643,-19,401,-29,5631,David D. Mandarich,4721,2024
MDU Resources Group,Energy,Energy,Public,North Dakota,515,yes,no,no,yes,32,yes,no,,no,no,14929,6207,6974,23,368,-3,9661,David L. Goodin,6207,2023,672,yes,no,yes,no,-157,no,yes,,no,no,no,9145,5138,4657,-33,415,13,7833,Nicole A. Kivisto,5138,2024
Medical Mutual of Ohio,Financials,"Insurance: Life, Health (Mutual)",Private,Ohio,823,yes,no,no,yes,-75,no,yes,,no,no,2945,0,3493,-1,32,-59,2587,Steven C. Glass,0,2023,773,yes,no,no,yes,50,yes,no,,no,no,no,3084,0,3796,9,66,104,2787,Steven C. Glass,0,2024
Merck,Health Care,Pharmaceuticals,Public,New Jersey,69,yes,no,no,yes,2,yes,no,no,yes,yes,68000,270081,59283,16,14519,11,109160,Robert M. Davis,267877,2023,67,yes,no,no,yes,2,yes,no,no,yes,yes,yes,71000,334182,60115,1,365,-98,106675,Robert M. Davis,324503,2024
Mercury General,Financials,Insurance: Property and Casualty (Stock),Public,California,796,no,no,no,no,-103,no,yes,,no,no,4300,1758,3643,-9,-513,-307,6514,Gabriel Tirador,1758,2023,675,yes,no,no,no,121,yes,no,,no,no,no,4100,2857,4630,27,96,0,7103,Gabriel Tirador,2857,2024
Meritage Homes,Engineering & Construction,Homebuilders,Public,Arizona,557,yes,no,no,yes,31,yes,no,,no,no,1921,4293,6292,22,992,34,5772,Phillippe Lord,4293,2023,560,yes,no,no,no,-3,no,yes,,no,no,no,1838,6346,6138,-2,739,-26,6353,Phillippe Lord,6346,2024
Meta Platforms,Technology,Internet Services and Retailing,Public,California,31,yes,yes,no,yes,-4,no,yes,no,yes,no,86482,549484,116609,-1,23200,-41,185727,Mark Zuckerberg,796036,2023,30,yes,yes,no,no,1,yes,no,no,yes,yes,no,67317,1237940,134902,16,39098,68,229623,Mark Zuckerberg,1258678,2024
MetLife,Financials,"Insurance: Life, Health (stock)",Public,New York,54,yes,no,no,yes,-4,no,yes,no,yes,yes,45000,44867,69898,-2,2539,-61,666611,Michel A. Khalaf,45183,2023,60,yes,no,no,no,-6,no,yes,no,yes,yes,yes,45000,53583,66905,-4,1578,-38,687584,Michel A. Khalaf,52929,2024
Mettler-Toledo International,Technology,"Scientific,Photographic and  Control Equipment",Public,Ohio,758,yes,no,no,yes,-34,no,yes,,no,no,17200,33772,3920,5,873,14,3492,Patrick Kaltenbach,33772,2023,775,yes,no,no,no,-17,no,yes,,no,no,no,16650,28474,3788,-3,789,-10,3356,Patrick Kaltenbach,28474,2024
MGM Resorts International,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Public,Nevada,315,yes,no,no,yes,49,yes,no,no,no,no,66000,16564,13128,36,1473,17,45692,William J. Hornbuckle,16564,2023,251,yes,no,no,yes,64,yes,no,no,no,no,no,67000,14966,16164,23,1142,-22,42368,William J. Hornbuckle,14966,2024
Microchip Technology,Technology,Semiconductors and Other Electronic Components,Public,Arizona,522,yes,no,no,yes,49,yes,no,,no,no,21000,45894,6821,25,1286,268,16200,Ganesh Moorthy,45894,2023,447,yes,no,no,yes,75,yes,no,yes,no,no,no,22600,48478,8439,24,2238,74,16370,Ganesh Moorthy,48478,2024
Micron Technology,Technology,Semiconductors and Other Electronic Components,Public,Idaho,136,yes,no,no,yes,-9,no,yes,no,no,no,48000,66036,30758,11,8687,48,66283,Sanjay Mehrotra,66036,2023,264,no,no,no,no,-128,no,yes,no,no,no,no,43000,130548,15540,-50,-5833,-167,64254,Sanjay Mehrotra,130548,2024
Microsoft,Technology,Computer Software,Public,Washington,13,yes,no,no,yes,1,yes,no,no,yes,no,221000,2146049,198270,18,72738,19,364840,Satya Nadella,2570671,2023,13,yes,no,no,no,0,no,no,no,yes,yes,no,221000,3126133,211915,7,72361,0,411976,Satya Nadella,3373970,2024
Middleby,Industrials,Industrial Machinery,Public,Illinois,739,yes,no,no,yes,49,yes,no,,no,no,11268,7871,4033,24,437,-11,6875,Timothy J. FitzGerald,7871,2023,740,yes,no,no,no,-1,no,yes,,no,no,no,10722,8645,4037,0,401,-8,6907,Timothy J. FitzGerald,8645,2024
MillerKnoll,Household Products,"Home Equipment, Furnishings",Public,Michigan,749,no,no,yes,yes,178,yes,no,,no,no,11300,1546,3946,60,-27,-116,4514,Andrea R. Owen,1546,2023,738,yes,no,yes,no,11,yes,no,,no,no,no,10900,1803,4087,4,42,0,4275,Andrea R. Owen,1803,2024
MKS Instruments,Technology,Semiconductors and Other Electronic Components,Public,Massachusetts,814,yes,no,no,yes,29,yes,no,,no,no,10675,5908,3547,20,333,-40,11495,John T.C. Lee,5908,2023,803,no,no,no,no,11,yes,no,,no,no,no,10100,8918,3622,2,-1841,-653,9118,John T.C. Lee,8918,2024
Moderna,Health Care,Pharmaceuticals,Public,Massachusetts,211,yes,no,no,yes,-16,no,yes,no,no,no,3900,59232,19263,4,8362,-32,25858,Stephane Bancel,59232,2023,518,no,no,no,yes,-307,no,yes,,no,yes,no,5600,40800,6848,-64,-4714,-156,18426,St?phane Bancel,40800,2024
ModivCare,Health Care,Health Care: Pharmacy and Other Services,Public,Colorado,985,no,no,no,no,0,,,,no,no,20000,1190,2512,25,-32,0,1944,L. Heath Sampson,1190,2023,944,no,no,no,yes,41,yes,no,,no,no,no,21200,333,2756,10,-204,0,1767,L. Heath Sampson,333,2024
Mohawk Industries,Household Products,"Home Equipment, Furnishings",Public,Georgia,351,yes,no,no,no,-21,no,yes,no,no,no,40900,6368,11737,5,25,-98,14120,Jeffrey S. Lorberbaum,6368,2023,364,no,no,no,yes,-13,no,yes,no,no,no,no,43300,8337,11135,-5,-440,-1841,13560,Jeffrey S. Lorberbaum,8337,2024
Molina Healthcare,Health Care,Health Care: Insurance and Managed Care,Public,California,126,yes,no,no,yes,-1,no,yes,no,no,no,15000,15586,31974,15,792,20,12314,Joseph M. Zubretsky,17485,2023,128,yes,no,no,yes,-2,no,yes,no,yes,yes,no,18000,24068,34072,7,1091,38,14892,Joseph M. Zubretsky,16755,2024
Molson Coors Beverage,"Food, Beverages & Tobacco",Beverages,Public,Illinois,374,no,no,no,yes,-22,no,yes,no,no,no,16600,11360,10701,4,-175,-117,25868,Gavin D.K. Hattersley,11360,2023,352,yes,no,no,no,22,yes,no,no,no,no,no,16500,14298,11702,9,949,0,26375,Gavin D.K. Hattersley,14298,2024
Mondelez International,"Food, Beverages & Tobacco",Food Consumer Products,Public,Illinois,131,yes,no,no,yes,-10,no,yes,no,yes,no,91000,95050,31496,10,2717,-37,71161,Dirk Van de Put,97972,2023,115,yes,no,no,no,16,yes,no,no,yes,yes,no,91000,94253,36016,14,4959,82,71391,Dirk Van de Put,86317,2024
Monster Beverage,"Food, Beverages & Tobacco",Beverages,Public,California,556,yes,no,no,yes,8,yes,no,,no,no,4952,56431,6311,14,1192,-14,8293,Rodney C. Sacks/Hilton H. Schlosberg,56431,2023,496,yes,no,no,yes,60,yes,no,yes,no,no,no,5629,61689,7140,13,1631,37,9686,Rodney C. Sacks/Hilton H. Schlosberg,61689,2024
Moody's,Business Services,Financial Data Services,Public,New York,610,yes,no,no,yes,-98,no,yes,,no,no,14426,56084,5468,-12,1374,-38,14349,Robert S. Fauber,56084,2023,574,yes,no,no,yes,36,yes,no,,no,yes,no,15151,71752,5916,8,1607,17,14622,Robert S. Fauber,71752,2024
Moog,Aerospace & Defense,Aerospace & Defense,Public,New York,886,yes,no,no,no,-24,no,yes,,no,no,14000,3203,3036,6,155,-1,3432,Patrick J. Roche,3203,2023,842,yes,no,no,no,44,yes,no,,no,no,no,13500,5307,3319,9,171,10,3808,Patrick J. Roche,5307,2024
Morgan Stanley,Financials,Commercial Banks,Public,New York,61,yes,no,no,yes,0,no,no,no,yes,no,82427,147674,65936,8,11029,-27,1180231,James P. Gorman,144248,2023,41,yes,no,no,no,20,yes,no,no,yes,yes,no,80006,153977,96194,46,9087,-18,1193693,Edward N. Pick,171065,2024
Mosaic,Chemicals,Chemicals,Public,Florida,217,yes,no,no,yes,88,yes,no,no,no,no,13570,15438,19125,55,3583,120,23386,James C. O&#039;Rourke,15438,2023,307,yes,no,no,yes,-90,no,yes,no,no,no,no,14049,10442,13696,-28,1165,-68,23033,Bruce M. Bodine,10442,2024
Motorola Solutions,Technology,Network and Other Communications Equipment,Public,Illinois,418,yes,no,no,yes,5,yes,no,no,no,no,20000,47917,9112,12,1363,10,12814,Gregory Q. Brown,47917,2023,395,yes,no,no,yes,23,yes,no,no,no,no,no,21000,59142,9978,10,1709,25,13336,Gregory Q. Brown,59142,2024
Mr. Cooper Group,Financials,Diversified Financials,Public,Texas,992,yes,no,no,no,-215,no,yes,,no,no,6600,2873,2464,-26,923,-36,12776,Jay Bray,2873,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
MRC Global,Wholesalers,Wholesalers: Diversified,Public,Texas,837,yes,no,no,yes,64,yes,no,,no,no,2800,819,3363,26,75,0,1895,Robert J. Saltiel Jr.,819,2023,833,yes,no,no,no,4,yes,no,,no,no,no,2800,1061,3412,2,114,52,1886,Robert J. Saltiel Jr.,1061,2024
MSC Industrial Direct,Wholesalers,Wholesalers: Diversified,Public,New York,790,yes,no,no,yes,0,,,,no,no,6880,4702,3692,14,340,57,2729,Erik Gershwind,4702,2023,745,yes,no,no,yes,45,yes,no,,no,no,no,7254,5463,4009,9,343,1,2544,Erik Gershwind,5463,2024
Mueller Industries,Industrials,Industrial Machinery,Public,Tennessee,744,yes,no,no,no,-26,no,yes,,no,no,5137,4187,3983,6,658,40,2242,Gregory L. Christopher,4187,2023,832,yes,no,no,no,-88,no,yes,,no,no,no,4509,6126,3420,-14,603,-8,2759,Gregory L. Christopher,6126,2024
Murphy Oil,Energy,"Mining, Crude-Oil Production",Public,Texas,752,yes,no,no,no,206,yes,no,,no,no,691,5773,3933,71,965,0,10309,Roger W. Jenkins,5773,2023,825,yes,no,no,yes,-73,no,yes,,no,no,no,725,6973,3460,-12,662,-31,9767,Roger W. Jenkins,6973,2024
Murphy USA,Retailing,Specialty Retailers: Other,Public,Arkansas,182,yes,no,no,yes,58,yes,no,no,no,no,10550,5621,21266,39,673,70,4123,R. Andrew Clyde,5621,2023,214,yes,no,no,yes,-32,no,yes,no,no,no,no,10750,8726,19238,-10,557,-17,4340,R. Andrew Clyde,8727,2024
Mutual of Omaha,Financials,"Insurance: Life, Health (Mutual)",Private,Nebraska,328,no,no,no,yes,-4,no,yes,no,no,yes,6350,0,12531,8,-177,-200,45140,James T. Blackledge,0,2023,306,yes,no,no,no,22,yes,no,no,no,no,no,6231,0,13856,11,48,0,51839,James T. Blackledge,0,2024
MYR Group,Engineering & Construction,Engineering & Construction,Public,Colorado,893,yes,no,no,yes,29,yes,no,,no,no,8500,2100,3009,20,83,-2,1399,Richard S. Swartz,2100,2023,800,yes,no,no,yes,93,yes,no,,no,no,no,9000,2959,3644,21,91,9,1579,Richard S. Swartz,2959,2024
Nasdaq,Financials,Securities,Public,New York,559,yes,no,yes,yes,-27,no,yes,,no,no,6377,26734,6226,6,1125,-5,20868,Adena T. Friedman,26734,2023,563,yes,no,yes,yes,-4,no,yes,,no,no,no,8525,36296,6064,-3,1059,-6,32294,Adena T. Friedman,36296,2024
Nationwide,Financials,Insurance: Property and Casualty (Mutual),Private,Ohio,83,yes,no,no,yes,-3,no,yes,no,yes,yes,24791,0,51450,9,988,-39,264511,Kirt A. Walker,0,2023,75,no,no,no,no,8,yes,no,no,yes,no,yes,24118,0,54609,6,-45,-105,290615,Kirt A. Walker,0,2024
Navient,Financials,Diversified Financials,Public,Virginia,764,yes,no,no,no,-3,no,yes,,no,no,4000,2062,3839,11,645,-10,70795,David L. Yowan,2062,2023,657,yes,no,no,yes,107,yes,no,,no,no,no,4500,1962,4828,26,228,-65,61375,David L. Yowan,1962,2024
NCR,Technology,"Computers, Office Equipment",Public,Georgia,474,yes,no,no,no,-8,no,yes,no,no,no,35000,3304,7844,10,60,-38,11507,Michael D. Hayford,3304,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
NetApp,Technology,"Computers, Office Equipment",Public,California,555,yes,no,no,yes,-13,no,yes,,no,no,12000,13658,6318,10,937,28,10026,George Kurian,13658,2023,549,yes,no,no,no,6,yes,no,,no,no,no,12000,21663,6362,1,1274,36,9818,George Kurian,21663,2024
Netflix,Media,Entertainment,Public,California,129,yes,no,no,yes,-14,no,yes,no,yes,no,12800,153858,31616,6,4492,-12,48595,Ted Sarandos/Gregory K. Peters,200066,2023,131,yes,no,no,yes,-2,no,yes,no,yes,yes,no,13000,262828,33723,7,5408,20,48732,Ted Sarandos/Gregory K. Peters,282865,2024
New Jersey Resources,Energy,Utilities: Gas and Electric,Public,New Jersey,906,yes,no,no,yes,83,yes,no,,no,no,1288,5154,2906,35,275,133,6261,Jim Abrahamson,5154,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
New York Life Insurance,Financials,"Insurance: Life, Health (Mutual)",Private,New York,71,no,no,no,yes,1,yes,no,no,yes,no,15050,0,58445,14,-1127,-507,392126,Craig DeSanto,0,2023,78,yes,no,no,yes,-7,no,yes,no,yes,yes,no,15384,0,54317,-7,805,0,408905,Craig DeSanto,0,2024
Newell Brands,Household Products,"Home Equipment, Furnishings",Public,Georgia,408,yes,no,no,no,-60,no,yes,no,no,no,28000,5145,9459,-11,197,-66,13262,Christopher H. Peterson,5145,2023,460,no,no,no,no,-52,no,yes,no,no,yes,no,24600,3334,8133,-14,-388,-297,12163,Christopher H. Peterson,3334,2024
Newmark Group,Financials,Real estate,Public,New York,943,yes,no,no,yes,-89,no,yes,,no,no,6269,1230,2706,-7,83,-89,3941,Barry M. Gosin,1230,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
NewMarket,Chemicals,Chemicals,Public,Virginia,932,yes,no,no,no,15,yes,no,,no,no,2058,3535,2765,17,280,46,2407,Thomas E. Gottwald,3535,2023,956,yes,no,no,no,-24,no,yes,,no,no,no,2000,6086,2698,-2,389,39,2309,Thomas E. Gottwald,6086,2024
Newmont,Energy,"Mining, Crude-Oil Production",Public,Colorado,348,no,no,no,yes,-40,no,yes,no,no,no,14600,38947,11915,-2,-429,-137,38482,Thomas R. Palmer,38947,2023,349,no,no,no,yes,-1,no,yes,no,no,no,no,21700,41316,11812,-1,-2494,0,55506,Thomas R. Palmer,41316,2024
News Corp.,Media,"Publishing, Printing",Public,New York,381,yes,no,no,yes,-7,no,yes,no,no,no,25500,9972,10385,11,623,89,17221,Robert J. Thomson,9972,2023,398,yes,no,no,no,-17,no,yes,no,no,no,no,25000,15120,9879,-5,149,-76,16921,Robert J. Thomson,15120,2024
Nexstar Media Group,Media,Entertainment,Public,Texas,633,yes,yes,no,yes,4,yes,no,,no,no,12319,6349,5211,12,971,16,12679,Perry A. Sook,6349,2023,648,yes,yes,no,yes,-15,no,yes,,no,no,no,12586,5759,4933,-5,346,-64,12078,Perry A. Sook,5759,2024
NextEra Energy,Energy,Utilities: Gas and Electric,Public,Florida,187,yes,no,no,yes,28,yes,no,no,no,no,15300,153196,20956,23,4147,16,158935,John W. Ketchum,153196,2023,152,yes,no,no,yes,35,yes,no,no,no,yes,no,16800,131171,28114,34,7310,76,177489,John W. Ketchum,131171,2024
NexTier Oilfield Solutions,Energy,"Oil and Gas Equipment, Services",Public,Texas,863,yes,no,no,yes,0,,,,no,no,4302,1858,3245,128,315,0,1727,Robert W. Drummond,1858,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
NGL Energy Partners,Energy,Pipelines,Public,Oklahoma,467,no,no,no,no,114,yes,no,yes,no,no,842,381,7948,52,-185,0,6070,H. Michael Krimbill,381,2023,442,yes,no,no,no,25,yes,no,no,no,no,no,638,763,8695,9,51,0,5456,H. Michael Krimbill,763,2024
Nike,Apparel,Apparel,Public,Oregon,93,yes,no,no,yes,-10,no,yes,no,yes,no,79100,190161,46710,5,6046,6,40321,John J. Donahoe II,167086,2023,88,yes,no,no,yes,5,yes,no,no,yes,yes,no,83700,142391,51217,10,5070,-16,37531,John J. Donahoe II,107632,2024
NiSource,Energy,Utilities: Gas and Electric,Public,Indiana,586,yes,no,no,no,33,yes,no,,no,no,7140,11534,5851,19,804,38,26737,Lloyd M. Yates,11534,2023,599,yes,no,no,yes,-13,no,yes,,no,no,no,7388,12378,5505,-6,714,-11,31077,Lloyd M. Yates,12379,2024
Nordson,Industrials,Industrial Machinery,Public,Ohio,969,yes,no,no,yes,-23,no,yes,,no,no,7331,12709,2590,10,513,13,3820,Sundaram Nagarajan,12709,2023,972,yes,no,no,yes,-3,no,yes,,no,no,no,7900,15702,2629,2,488,-5,5252,Sundaram Nagarajan,15702,2024
Nordstrom,Retailing,General Merchandisers,Public,Washington,267,yes,no,no,no,-22,no,yes,no,no,no,60000,2606,15530,5,245,38,8745,Erik B. Nordstrom,2606,2023,286,yes,no,no,no,-19,no,yes,no,no,yes,no,54000,3309,14693,-5,134,-45,8444,Erik B. Nordstrom,3309,2024
Norfolk Southern,Transportation,Railroads,Public,Georgia,320,yes,no,no,yes,12,yes,no,no,no,no,19300,48257,12745,14,3270,9,38885,Alan H. Shaw,48257,2023,338,yes,no,no,yes,-18,no,yes,no,no,no,no,20700,57570,12156,-5,1827,-44,41652,Alan H. Shaw,57570,2024
Northern Trust,Financials,Commercial Banks,Public,Illinois,477,yes,no,no,yes,16,yes,no,no,no,no,23600,18309,7752,20,1336,-14,155037,Michael G. O&#039;Grady,18309,2023,342,yes,no,no,no,135,yes,no,no,no,yes,no,23100,18141,12116,56,1107,-17,150783,Michael G. O'Grady,18141,2024
Northrop Grumman,Aerospace & Defense,Aerospace & Defense,Public,Virginia,113,yes,no,yes,yes,-12,no,yes,no,yes,no,95000,70203,36602,3,4896,-30,43755,Kathy J. Warden,68981,2023,109,yes,no,yes,yes,4,yes,no,no,yes,yes,no,101000,70909,39290,7,2056,-58,46544,Kathy J. Warden,63920,2024
